"","Var.1","Library","City.ortown","Image","Dategranted","Grantamount","Location","Notes","state","Municipality","Status","Town"
"1",1,"Anniston","Anniston",NA,"May 15, 1916","$20,000","Wilmer Ave. & E 10th St.33°39′25.92″N 85°49′42.27″W﻿ / ﻿33.6572000°N 85.8284083°W﻿ / 33.6572000; -85.8284083﻿ (Anniston Carnegie library)","Open 1918–1965","Alabama",NA,NA,NA
"2",2,"Avondale","Avondale",NA,"Dec 13, 1907","$10,000","","Open 1908–1961","Alabama",NA,NA,NA
"3",3,"Bessemer","Bessemer",NA,"Feb 13, 1906","$10,000","321 18th St. N33°24′8.22″N 86°57′16.86″W﻿ / ﻿33.4022833°N 86.9546833°W﻿ / 33.4022833; -86.9546833﻿ (Bessemer Carnegie library)","","Alabama",NA,NA,NA
"4",4,"Decatur","Decatur",NA,"Feb 12, 1903","$12,000","207 Church St. NE34°36′45.11″N 86°58′55.2″W﻿ / ﻿34.6125306°N 86.982000°W﻿ / 34.6125306; -86.982000﻿ (Decatur Carnegie library)","Open 1904–1976","Alabama",NA,NA,NA
"5",5,"Ensley","Ensley",NA,"Mar 25, 1905","$10,000","Corner of Avenue H and 18th St.","Open 1906–1955","Alabama",NA,NA,NA
"6",6,"Eufaula","Eufaula",NA,"Feb 2, 1903","$10,000","217 N Eufaula Ave.31°53′48.47″N 85°8′44.35″W﻿ / ﻿31.8967972°N 85.1456528°W﻿ / 31.8967972; -85.1456528﻿ (Eufaula Carnegie library)","","Alabama",NA,NA,NA
"7",7,"Gadsden","Gadsden",NA,"Nov 18, 1903","$10,000","701 Forrest Ave.34°1′21.17″N 86°2′43.65″W﻿ / ﻿34.0225472°N 86.0454583°W﻿ / 34.0225472; -86.0454583﻿ (Gadsden Carnegie library)","Open 1906–1964","Alabama",NA,NA,NA
"8",8,"Huntsville","Huntsville",NA,"May 8, 1914","$12,500","","Open 1916–1966","Alabama",NA,NA,NA
"9",9,"Montgomery","Montgomery",NA,"Feb 13, 1901","$50,000","100 S Lawrence St.32°22′36.71″N 86°18′22.44″W﻿ / ﻿32.3768639°N 86.3062333°W﻿ / 32.3768639; -86.3062333﻿ (Montgomery Carnegie library)","","Alabama",NA,NA,NA
"10",10,"Selma","Selma",NA,"Apr 13, 1903","$11,800","912 Selma Avenue32°24′29.55″N 87°1′18.55″W﻿ / ﻿32.4082083°N 87.0218194°W﻿ / 32.4082083; -87.0218194﻿ (Selma Carnegie Library)","","Alabama",NA,NA,NA
"11",11,"Talladega","Talladega",NA,"Feb 13, 1906","$12,500","200 South St. E33°26′1.63″N 86°5′59.4″W﻿ / ﻿33.4337861°N 86.099833°W﻿ / 33.4337861; -86.099833﻿ (Talladega Carnegie library)","","Alabama",NA,NA,NA
"12",12,"Troy","Troy",NA,"Apr 6, 1908","$10,000","306 E Academy St.31°48′35.82″N 85°58′8.8″W﻿ / ﻿31.8099500°N 85.969111°W﻿ / 31.8099500; -85.969111﻿ (Troy Carnegie library)","","Alabama",NA,NA,NA
"13",13,"Union Springs","Union Springs",NA,"Jan 6, 1911","$7,000","103 Prairie St. N32°8′28.54″N 85°42′57.98″W﻿ / ﻿32.1412611°N 85.7161056°W﻿ / 32.1412611; -85.7161056﻿ (Union Spring Carnegie library)","","Alabama",NA,NA,NA
"14",14,"West End","West End",NA,"Feb 1, 1909","$10,000","Tuscaloosa Ave. SW & 13th St. SW33°29′36.94″N 86°51′12.72″W﻿ / ﻿33.4935944°N 86.8535333°W﻿ / 33.4935944; -86.8535333﻿ (West End Carnegie library)","Open 1912–1962","Alabama",NA,NA,NA
"15",1,"Phoenix","Phoenix",NA,"Apr 26, 1902","$25,000","1101 W Washington St.33°26′51.62″N 112°5′13.19″W﻿ / ﻿33.4476722°N 112.0869972°W﻿ / 33.4476722; -112.0869972﻿ (Phoenix Carnegie Library)","Closed after serving as the Phoenix Public Library from 1908 to 1953. Now the Carnegie Center, a multi-service center which includes the Arizona State Library.[1]","Arizona",NA,NA,NA
"16",2,"Prescott","Prescott",NA,"Jul 4, 1899","$4,000","125 E Gurley St.34°32′30.02″N 112°28′3.32″W﻿ / ﻿34.5416722°N 112.4675889°W﻿ / 34.5416722; -112.4675889﻿ (Prescott Carnegie Library)","Open from November 24, 1903 until 1975. The building is now home to several private businesses.[2]","Arizona",NA,NA,NA
"17",3,"Tucson","Tucson",NA,"Oct 27, 1899","$25,000","200 S 6th Ave.32°13′9.09″N 110°58′8.96″W﻿ / ﻿32.2191917°N 110.9691556°W﻿ / 32.2191917; -110.9691556﻿ (Tucson Carnegie Library)","Served as the Tucson Public Library from 1901 to 1991. In 1991, it became the Tucson Children's Museum.[3]","Arizona",NA,NA,NA
"18",4,"Yuma","Yuma",NA,"Sep 14, 1917","$10,000","350 S 3rd Ave.32°43′14.21″N 114°37′26.63″W﻿ / ﻿32.7206139°N 114.6240639°W﻿ / 32.7206139; -114.6240639﻿ (Yuma Carnegie Library)","Opened February 24, 1921. Although heavily renovated in the 1950s and again in 2008, the original Carnegie library still stands as a branch library for the Yuma County Library District.[4]","Arizona",NA,NA,NA
"19",1,"Eureka Springs","Eureka Springs",NA,"Apr 23, 1906","$15,500","194 Spring St.36°24′27.29″N 93°44′11.88″W﻿ / ﻿36.4075806°N 93.7366333°W﻿ / 36.4075806; -93.7366333﻿ (Eureka Springs Carnegie Library)","Construction began in 1910, after the building site was donated by R.C. Kerens, prominent investor in the nearby Crescent Hotel. Design for the building was prepared by St. Louis architect George W. Hellmuth. The building was completed in 1912, and originally open only three afternoons a week as the library depended on memberships and contributions for income. By 1920 the Library was open six days a week, and a year later the building was supplied with electrical lighting. This library continues to serve the community.","Arkansas",NA,NA,NA
"20",2,"Fort Smith","Fort Smith",NA,"Mar 24, 1906","$25,000","318 N. 13th St.35°23′8.2″N 94°24′56.92″W﻿ / ﻿35.385611°N 94.4158111°W﻿ / 35.385611; -94.4158111﻿ (Fort Smith Carnegie Library)","After opening on January 30, 1908, this building was a library until about 1970. Today it houses KFSM-TV, whose production studio is located in an addition to the original structure.[2][3]","Arkansas",NA,NA,NA
"21",3,"Little Rock","Little Rock",NA,"Mar 24, 1906","$88,100","W. 7th St. and S. Louisiana St.34°44′31.95″N 92°16′23.03″W﻿ / ﻿34.7422083°N 92.2730639°W﻿ / 34.7422083; -92.2730639﻿ (Little Rock Carnegie Library)","Opening on February 1, 1910, this building was razed in 1964.","Arkansas",NA,NA,NA
"22",4,"Morrilton","Morrilton",NA,"Sep 20, 1915","$10,000","101 W. Church St.35°9′4.07″N 92°44′43.64″W﻿ / ﻿35.1511306°N 92.7454556°W﻿ / 35.1511306; -92.7454556﻿ (Morrilton Carnegie Library)","Opened in October 1916, this library continues to serve the community as the Conway County Library.[4]","Arkansas",NA,NA,NA
"23",1,"Alameda","Alameda",NA,"Oct 3, 1899","$35,000","2264 Santa Clara Ave, Alameda, CA 9410537°45′57.32″N 122°14′37.1″W﻿ / ﻿37.7659222°N 122.243639°W﻿ / 37.7659222; -122.243639﻿ (Alameda Free Library)","Opened in 1903, this Wilcox and Curtis Neoclassical building served as a public library until 1998. It has been vacant since.","California",NA,NA,NA
"24",2,"Alturas","Alturas",NA,"Nov 20, 1908","$10,000","201 S. Court St, Alturas, CA 9610141°29′2.56″N 120°32′27.42″W﻿ / ﻿41.4840444°N 120.5409500°W﻿ / 41.4840444; -120.5409500﻿ (Alturas Carnegie Library)","This building, designed by F. J. DeLongchamps, opened in 1918 and served as a library until 1947. It now houses law offices.","California",NA,NA,NA
"25",3,"Anaheim","Anaheim",NA,"Feb 6, 1907","$10,000","241 S. Anaheim Blvd, Anaheim, CA 9280533°50′3.46″N 117°54′48.57″W﻿ / ﻿33.8342944°N 117.9134917°W﻿ / 33.8342944; -117.9134917﻿ (Anaheim Carnegie Library)","A John C. Austin work, this building opened in 1909. It was a library until 1963, and it has been home to the Anaheim Museum since 1987.","California",NA,NA,NA
"26",4,"Antioch","Antioch",NA,"Jun 1, 1915","$2,500","519 F St, Antioch, CA 9450538°0′51.77″N 121°48′44.6″W﻿ / ﻿38.0143806°N 121.812389°W﻿ / 38.0143806; -121.812389﻿ (Antioch Carnegie Library)","This Francis Reid Neoclassical design was Antioch's library from its opening in 1916 until 1967. It is now a church.","California",NA,NA,NA
"27",5,"Auburn","Auburn",NA,"Mar 9, 1907","$10,000","175 Almond St, Auburn, CA 9560338°53′59.03″N 121°4′19.09″W﻿ / ﻿38.8997306°N 121.0719694°W﻿ / 38.8997306; -121.0719694﻿ (Auburn Carnegie Library)","From May 26, 1909 to 1968, this Allen D. Fellows Classical Revival building was the Auburn library. It is now an arts center.","California",NA,NA,NA
"28",6,"Azusa","Azusa",NA,"Dec 24, 1908","$10,000","213 E Foothill Blvd, Azusa, CA 91702 34°8′5.85″N 117°54′19.76″W﻿ / ﻿34.1349583°N 117.9054889°W﻿ / 34.1349583; -117.9054889﻿ (Azusa Carnegie Library)","This Norman F. Marsh design was the library in Azusa from 1910 to 1959. The building was razed in 1959 and a new City Hall erected on its site.","California",NA,NA,NA
"29",7,"Bayliss District","Bayliss District",NA,"Jan 5, 1916","$4,000","7830 County Rd 39, Glenn, CA 95943","Bayliss sought a grant in conjunction with rural parts of Glenn County, hence its unusual name. Opened in 1917, this W. H. Weeks design continues to operate as one of the most rural Carnegie libraries in the country.","California",NA,NA,NA
"30",8,"Beaumont","Beaumont",NA,"Apr 28, 1913","$10,000","125 E 8th St, Beamont, CA 9222333°55′55.85″N 116°58′51.95″W﻿ / ﻿33.9321806°N 116.9810972°W﻿ / 33.9321806; -116.9810972﻿ (Beaumont District Library)","Opened in 1914, this Neoclassical design by E. L. Hopkins has always served the Beaumont area as a library. An addition was added to the library in 1966 and a community room was finally added in 1981.","California",NA,NA,NA
"31",9,"Berkeley","Berkeley",NA,"Feb 12, 1903","$40,000","Shattuck Ave. and Kittridge St.37°52′5.39″N 122°16′7″W﻿ / ﻿37.8681639°N 122.26861°W﻿ / 37.8681639; -122.26861﻿ (Berkeley Carnegie Library)","A 1905 John Galen Howard design, this library served the Berkeley area for only 24 years before it was razed in 1929—the first Carnegie library to be demolished in California.","California",NA,NA,NA
"32",10,"Biggs","Biggs",NA,"Apr 23, 1906","$5,000","464 B St, Biggs, CA 95917","","California",NA,NA,NA
"33",11,"Calexico","Calexico",NA,"Mar 16, 1915","$10,000","420 Heber Ave, Calexico, CA 92231","Now in the Calexico Public Library system, after several years of idleness being completely restored and reopened as a computer lab.","California",NA,NA,NA
"34",12,"Chico","Chico",NA,"Jan 7, 1904","$10,000","141 Salem St, Chico, CA 95928","Now housing the Chico Museum.","California",NA,NA,NA
"35",13,"Chula Vista","Chula Vista",NA,"Mar 31, 1916","$10,000","","Vacated in 1955. Destroyed in 1960.","California",NA,NA,NA
"36",14,"Clovis","Clovis",NA,"Mar 11, 1914","$7,000","325 Pollasky Ave, Clovis, CA 93612.","Now home to the Clovis Chamber of Commerce.","California",NA,NA,NA
"37",15,"Coalinga","Coalinga",NA,"Jan 27, 1912","$20,000","","Demolished in 1955. Designed by architects Swartz, Hotchkin and Swartz, in a Mediterranean Revival style, as one of the three high school district California Carnegies. The new Coalinga Library is on the site.","California",NA,NA,NA
"38",16,"Colton","Colton",NA,"Apr 10, 1906","$10,000","380 N La Cadena Dr, Colton, CA 92324","Now the Colton Museum. Designed by architect Franklin P. Burnham, a temple style Classical Revival building, with pediment and columns, two fireplaces and skylight above a central rotunda. It served as both library and community center. In 1982 it was carefully restored to house the museum.","California",NA,NA,NA
"39",17,"Colusa","Colusa",NA,"Jan 19, 1905","$10,000","260 6th St, Colusa, CA 95932","Now houses the Colusa Police Department","California",NA,NA,NA
"40",18,"Concord","Concord",NA,"Jun 1, 1915","$2,500","","Demolished in 1959.","California",NA,NA,NA
"41",19,"Corning","Corning",NA,"Aug 11, 1913","$10,000","618 4th St, Corning, CA 96021","","California",NA,NA,NA
"42",20,"Corona","Corona",NA,"Mar 25, 1905","$11,500","","Demolished in 1978, the year after being listed on the NRHP","California",NA,NA,NA
"43",21,"Covina","Covina",NA,"Apr 11, 1905","$9,000","","Demolished in 1962.","California",NA,NA,NA
"44",22,"Dinuba","Dinuba",NA,"Mar 16, 1915","$8,000","","Demolished in 1975.","California",NA,NA,NA
"45",23,"Dixon","Dixon",NA,"Nov 21, 1911","$10,000","135 E B St, Dixon, CA 95620","Now the Dixon Unified School District Library. Dixon is one of only three California communities to obtain a Carnegie library as a high school district rather than city or county.  Designed by architects Parker and Kenyon, in the Mission Revival-Classical Revival style, and designated as historically significant by the Dixon city council in 1988.","California",NA,NA,NA
"46",24,"Eagle Rock","Eagle Rock",NA,"Mar 11, 1914","$7,500","2225 Colorado Blvd, Los Angeles, CA 90041","The building is now the Eagle Rock Community Cultural Center. Designed by architect W.E. Kleinpell, in the Mission Revival-Spanish Colonial Revival styles and opened in 1915. In 1923 it became a branch library when Eagle Rock was annexed by Los Angeles.","California",NA,NA,NA
"47",25,"East San Diego","East San Diego",NA,"Jun 1, 1915","$10,000","","Demolished in 1964.","California",NA,NA,NA
"48",26,"El Centro","El Centro",NA,"Feb 13, 1909","$10,000","539 State St, El Centro, CA 92243","El Centro Public Library. Extensive earthquake damage in the late 1920s necessitated drastic strengthening procedures with steel banding; with successive additions, the Classical Revival building was plastered over to create a Modern look. Closed due to damage it sustained during the 2010 Baja California earthquake, it was finally demolished in 2016.","California",NA,NA,NA
"49",27,"Escondido","Escondido",NA,"Jun 29, 1908","$7,500","","Demolished in 1956. Designed by the Los Angeles architectural firm of Van Trees and Millar Inc., in the Classical Revival style, and one of the few to display the name ""Carnegie Library.""  The new Escondido Public Library building is on the site.","California",NA,NA,NA
"50",28,"Eureka","Eureka",NA,"Oct 3, 1901","$20,000","636 F St, Eureka, CA 9550140°48′2″N 124°9′52″W﻿ / ﻿40.80056°N 124.16444°W﻿ / 40.80056; -124.16444﻿ (Eureka)","Restored by the Humboldt Arts Council, now used as The Morris Graves Museum of Art.","California",NA,NA,NA
"51",29,"Exeter","Exeter",NA,"May 8, 1914","$5,000","309 S E St., Exeter, CA 93221","Present day Exeter community center.","California",NA,NA,NA
"52",30,"Ferndale","Ferndale",NA,"Mar 21, 1908","$8,000","807 Main St, Ferndale, CA 9553640°34′47″N 124°15′35″W﻿ / ﻿40.57972°N 124.25972°W﻿ / 40.57972; -124.25972﻿ (Ferndale)","Designed by architect Warren Skellings, in a bold Classical Revival style. The only Carnegie Grant Library in northwestern California still functioning as a library","California",NA,NA,NA
